episode_index,episode_url,comment
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I think it would be hilarious if an army of mafia nannies came in to save her. Didn't the head nanny say before she always knows where her charges are at? 🤣

But also, Davina isn't the type of person that wouldn't have a backup plan in the works already...🤔"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,This is mean… 😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,It’s giving where is my wife vibes and I’m here for it ❤️❤️❤️
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Aaand with that, the whole town is about to burn. I'll grab the popcorn and marshmallows."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,View
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Artist: *Shows singular (1) panel of Nico and Alina*
Me and apparently the rest of the readers: GET YOUR HAMMERS, GET YOUR NAILS, WE'RE BUILDING A SHIP"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,i mean like…..there could still be a marriage…..just like between Nico and Alina
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,DAVINA KILL THAT MAN!!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,WDYM HES TAKEN OUR GIRL!!! Bro why are these panels so fast I need a solution now 😭😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I swear to the gods Gabriel grow a pair, get her back and confess 🔫😀 I can’t take this shit anymore"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Silently (very loudly) tweaking🥲. I hate that I need next Monday to get here tm.
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,ohhhh shit man
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Go get Val, call the mafia nanny guild, then bring hell fire upon that asshole!"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I felt so vulnerable when Nico asked to take him back coz of the marriage contract 😭💔 Everyone has different ways to support Gab
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"ADAM IS SAFE THANK GOODNESS, time to get val and davina back now 😭✌️"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I need to time travel to next week
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,NOOOO DONT END IT THERE SHE PROMISED TO COME BACK
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,The comments are literally so all over the place I love it! ✨chaos✨
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Lord Gabriel is about to crash out!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,i’m not having a fun time anymore . i wanna go home .
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Oh phew, Alina can get with Nico instead. One problem solved. Next!"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I missed something, what did the Whiz do???"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Mikey: papa, why isn’t Davina with you? *everyone has a somber look on their face* papa, you gotta get Davina back
Then Gabe looses his shit and massacres everyone"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Gabe is going to go cray cray and if Breixo is thinking to bring the clan to his knees, I think he might reveal who she truly is 🫣."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I hope Davina saves herself! maybe with some help but I don't want her to be a damsel in distress. that's not her personality at all
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Gabriel is about to burn that dude to the ground
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Oh I really like Alina, I hope she is able to find her own version of family"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"OH OH, HUBBY IS SOOOOOOO PISSED RIGHT NOW. WIFE IS IN TROUBLE. YES, YES! I DECIDED THEY ARE HUSBAND AND WIFE, no buts. F*ck you Breixo! Sorry, excuse my bad word."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,When they showed up without Davina…oh man. War is on the horizon. 😳🔥
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Has it been a week yet?????
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Breixo jumping on Davina with his fly still open… I know it was serious moment but couldn’t help but laugh 😹. Yes, I am still a child."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Breixo’s dead if he does anything to Davina cause Gabe is NOT gonna let that slide gang💔 if Gabe doesn’t get out of the arranged marriage then I’m suing..ok..?
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,uh oh don’t mess with his woman
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I want to know why Davina recognized that fighting style!!! 🤯🤔 I need to know! 🙀
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Adam is back home ! 😭 and he called himself useless 😩😩😩
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,GABEEEEE GO GET HERRRRR NOWWWWW
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I just KNOW that these panels are shorter or SOMETHING ugh!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Our girl's gonna finish the job and come home, just wait."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,i scrolled too fast 🥹
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,hmm... feels like yakolevna daughter has another man in her head...
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I will sell my soul to get the episode earlier😭😭😭😭😭😭😭😭🥹🥹🥹🥹🥹
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Nico: 💀🩸
Adam: 💀💀💀😵😵🩸
Val: ❤️💓🌸🌷💄💋💓"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"“i’m not going to let you do this AGAIN”??
idk… it feels a bit like maybe Gabe was in love with Davina when they were children and that’s l the reason Mr. Olives killed her family. He wanted connections with Emmaline’s family and didn’t like Gabe having an actual connection to Davina bc it would be a weak point for his successor!! & obvi Nico would know that bc he watched Gabe having to pick himself up after he (believed) Davina was dead!!!!"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"The fact that Nico’s first reaction upon waking was to worry about Adam and Val, and his first reaction to hearing about the contract was “take me back. This isn’t worth it. I’m not letting you do this to yourself *again*”, even when he knows it spells certain doom for himself… I may have found my new favorite character. 

I really hope he doesn’t die."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,WHERE IS IT?!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"1: The arranged marriage trope again is making me upset….
2: Headmistress Nanny lady about to be sooo upset and is gonna go get her charge again. I’m calling it now"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,you know guys i think that since Alina isn't happy about marrying Gabe she won't care if Gabe and davina sneak around together
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I knew it! Nicole and alina definitely have something going on!!! watch davina escape by herself after beating the shit out of brexio , he knows and that don't fly qfter she basically did whatever she could to destroy her past"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"everyone is shipping Nico with this new girl, and here I thought he and Val were an item this whole time"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Sigh .. same time next week? 😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Omggg and when he rescue her they can finally kiss
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,listen this tbh resolved nothing real from the previous episode and brought forth more convoluted plot points 😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"the same second I saw the notification ""the mafia nannys... new episode-"" I came DIRECTLY"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Was the first marriage also done to secure an ally?
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,the way i giggled when he asked “where is she?”🤭🤭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,knew he was after her..
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,NO NOT THE CUTOFF NOOOOOOOO
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,DAVINA NOOO
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Oh no she’s in the same clothes in the thumbnails for the next FIVE eps, this does not bode well 😰"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Ladies and gentlemen….its going to get dark in the next few episodes. It’s most likely going to emotional reck some of us so…..BE PREPARED!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Ooooh Nico and e daughter are in love… GABE GO GET DAVINA RN!!!!!!!!!!!!!

side note did anyone else imagine Adam being set on fire when he said “at least I’m not on fire” 
Adam, baby who set u on fire… IM GONNA KILL THEM"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Gabe: MY WIFE- I mean MY DAVINA- I mean DAVINA
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Binge read this in two days and this is where I’m cutoff 😭 what did I do deserve such cruelty?
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,What if I pass away from this cliff hanger..
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,i pray so hard that this comic gets turned into an actual paperback someday 🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️i would cop INSTANTLY
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I’m not on board with the whole Nico and Alina ship….. IM SORRY IM NOT REALLY SUPPORTING NICO AND VAL EITHER….I feel like it’s too soon to know if Nico’s gonna get a love interest and who it’s gonna be ALSO maybe Alina’s kindhearted nature doesn’t mean she wants him….she was raised away from most of the violence and drama maybe she just had a good character….it would feel contradictory for Nico and Alina to still marry under pressed circumstances…
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Whoever taught Davina to fight taught him, I'm guessing?"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Are we gonna see Gabby crash out
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"oh, come on, we already had to have to have the ship be forced apart with another forced married, and now she is trapped?! stop playing with my poor heart ;-; And I know Adam when he finds out is gonna be unbelievably pissed at him about the new arrange marriage."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Omg i cant wait for the next episode!! Go get your girl gabe!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,WHERE IS DAVINA😡
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I swear Davina better be safe, and I see nico and alina GO GET YOUR MANNN!!!!"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"""there is no look I can't pull off"" Nico knows it!"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,you never leave a soldier behind but davina knows her shit soo
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I swear the chapters are getting SHORTER, and the cliffhangers are getting DEADLY"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Ain’t no way bro really just went “Take me back” I’m dying 😂😂😂
